field_id,lat,lon,clay_pct,sand_pct,silt_pct,om_pct,ph,awc,kSat,dbthirdbar
391623000245685,41.464800000000004,-83.51070000000003,22.82,58.27,18.91,3.33,6.5,0.166,16.2,1.32
391623000245868,41.45059999999999,-83.49929999999995,32.62,47.81,19.57,3.27,5.5,0.247,43.3,1.38
391623001193287,41.375299999999974,-82.57849999999998,18.79,35.39,45.82,2.54,6.4,0.193,21.6,1.54
391623001532050,41.267399999999995,-84.14669999999998,17.72,38.81,43.46,2.22,6.3,0.229,18.0,1.51
391623001532073,41.26489999999997,-84.15729999999998,26.78,31.45,41.78,2.82,5.8,0.157,48.0,1.69
391623002233624,41.222500000000004,-84.16699999999997,31.01,39.25,29.73,1.54,6.7,0.194,14.9,1.5
391623002240612,41.66579999999998,-83.3825,16.42,56.73,26.85,2.18,6.6,0.181,30.8,1.52
391623002242386,41.56859999999999,-83.20119999999996,19.23,58.68,22.08,3.53,7.1,0.239,33.9,1.67
391623002243787,41.51170000000002,-83.17340000000003,17.19,35.56,47.24,1.71,6.1,0.189,20.9,1.63
391623003947118,41.33049999999999,-83.24609999999993,22.2,38.38,39.42,2.93,5.7,0.23,13.0,1.69
391623003947189,41.3272,-83.23030000000001,30.5,35.92,33.58,1.59,6.9,0.221,39.2,1.61
391623004117828,41.69459999999999,-83.97349999999999,17.27,40.16,42.57,1.65,7.0,0.212,23.2,1.33
391623004118842,41.63639999999999,-84.00319999999992,21.89,39.25,38.86,3.17,6.6,0.239,28.9,1.35
391623004119707,41.57530000000001,-84.03330000000003,29.82,52.41,17.77,2.74,6.8,0.199,30.9,1.47
391623004291427,41.39589999999999,-83.66260000000003,15.7,33.09,51.21,1.53,6.6,0.181,30.3,1.66
391623004303760,41.4827,-83.17859999999997,20.35,42.04,37.61,3.49,5.9,0.158,21.6,1.36
391623004305230,41.411300000000026,-82.75850000000003,33.82,54.08,12.11,3.31,7.0,0.23,17.5,1.66
391623004305517,41.40269999999999,-82.77639999999998,25.99,54.07,19.94,3.96,6.0,0.161,19.1,1.47
391623004307136,41.351699999999994,-82.98219999999995,31.46,55.74,12.79,1.67,6.4,0.192,18.9,1.35
391623004307950,41.3157,-82.88910000000001,21.78,58.26,19.95,2.49,6.4,0.22,24.5,1.69
